# Desai and Sibois Model from 
# "Evaluating predicted diurnal and semi-diurnal tidal variation..." supporting material
#                                                                              X                 Y             UT1              LOD
#     gamma     l      l0       F       D      Omega    Doodson Period 	       Sin      Cos     Sin     Cos     Sin     Cos     Sin     Cos 
-	1	-2	0	-2	-2	-2	107.755	1.2670641	-0.11	0.24	-0.24	-0.11	0.07	-0.01	-0.05	-0.34
-	1	0	0	-2	-4	-2	109.555	1.2593143	-0.07	0.15	-0.15	-0.07	0.04	-0.01	-0.03	-0.21
-	1	-3	0	-2	0	-1	115.845	1.2187487	-0.03	0.1	-0.1	-0.03	0.03	-0.01	-0.03	-0.13
-	1	-3	0	-2	0	-2	115.855	1.2185303	-0.16	0.54	-0.54	-0.16	0.14	-0.03	-0.15	-0.71
-	1	-1	0	-2	-2	-1	117.645	1.211577	-0.07	0.26	-0.26	-0.07	0.07	-0.02	-0.08	-0.34
-	1	-1	0	-2	-2	-2	117.655	1.2113611	-0.37	1.4	-1.4	-0.37	0.35	-0.08	-0.42	-1.8
-	1	-1	1	-2	-2	-2	118.654	1.207357	-0.03	0.1	-0.1	-0.03	0.03	-0.01	-0.03	-0.13
-	1	1	0	-2	-4	-2	119.455	1.2042758	-0.06	0.27	-0.27	-0.06	0.06	-0.02	-0.08	-0.34
-	1	-2	0	-2	0	-1	125.745	1.1671263	-0.04	0.83	-0.83	-0.04	0.18	-0.06	-0.33	-0.95
2Q1	1	-2	0	-2	0	-2	125.755	1.1669259	-0.19	4.41	-4.41	-0.19	0.94	-0.32	-1.74	-5.05
-	1	0	0	-2	-2	-1	127.545	1.1605476	-0.01	0.99	-0.99	-0.01	0.2	-0.07	-0.4	-1.11
Sigma1	1	0	0	-2	-2	-2	127.555	1.1603495	-0.03	5.24	-5.24	-0.03	1.08	-0.4	-2.14	-5.86
-	1	0	1	-2	-2	-2	128.554	1.156675	0.01	0.35	-0.35	0.01	0.07	-0.03	-0.15	-0.39
-	1	2	0	-2	-4	-2	129.355	1.1538467	0	0.16	-0.16	0	0.03	-0.01	-0.07	-0.17
-	1	-3	0	-2	2	-2	133.855	1.1256354	-0.02	-0.09	0.09	-0.02	-0.02	0.01	0.05	0.09
-	1	-1	-1	-2	0	-2	134.656	1.1229567	-0.05	-0.25	0.25	-0.05	-0.04	0.02	0.12	0.24
-	1	1	0	-4	0	-2	135.435	1.1206604	-0.03	-0.11	0.11	-0.03	-0.02	0.01	0.06	0.11
-	1	-1	0	-2	0	0	135.635	1.1198837	-0.04	-0.17	0.17	-0.04	-0.03	0.01	0.08	0.16
-	1	-1	0	-2	0	-1	135.645	1.1196992	1.33	5.46	-5.46	1.33	0.92	-0.49	-2.73	-5.17
Q1	1	-1	0	-2	0	-2	135.655	1.1195149	7.08	28.95	-28.95	7.08	4.88	-2.58	-14.48	-27.39
-	1	0	0	-2	-1	-2	136.555	1.1164795	-0.04	-0.15	0.15	-0.04	-0.03	0.01	0.08	0.14
